WARN  - 2017-08-01 12:27:15.784; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../contrib/extraction/lib).
WARN  - 2017-08-01 12:27:15.784; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../dist).
WARN  - 2017-08-01 12:27:15.785; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../contrib/clustering/lib).
WARN  - 2017-08-01 12:27:15.785; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../dist).
WARN  - 2017-08-01 12:27:15.785; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../contrib/langid/lib).
WARN  - 2017-08-01 12:27:15.785; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../dist).
WARN  - 2017-08-01 12:27:15.785; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../contrib/velocity/lib).
WARN  - 2017-08-01 12:27:15.786; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core_dev/../../../dist).
INFO  - 2017-08-01 12:27:15.795; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2017-08-01 12:27:15.796; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/../../../contrib/extraction/lib).
WARN  - 2017-08-01 12:27:15.796; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/../../../dist).
WARN  - 2017-08-01 12:27:15.796; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/../../../contrib/clustering/lib).
WARN  - 2017-08-01 12:27:15.796; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/../../../dist).
WARN  - 2017-08-01 12:27:15.797; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/../../../contrib/langid/lib).
WARN  - 2017-08-01 12:27:15.797; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/../../../dist).
WARN  - 2017-08-01 12:27:15.797; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /home/marius/Öffentlich/NetbeansProjects/MindlinerSolr/solr/mindliner_core/../../../contrib/velocity/lib).
